year,total_men,total_women,orthodox,in_russia_men,in_russia_women,in_russia_orthodox
1880,5597,6968,1154,1017,1412,301
1881,5210,6662,883,1031,1478,301
1882,5477,7055,947,1008,1496,292
1883,5771,7437,1136,939,1494,331
1884,5773,7435,1067,932,1545,311
1885,5994,7499,907,936,1499,302
1886,6985,9100,1185,1044,1602,404
1887,6523,8024,1085,1015,1538,310
1888,6910,8543,1157,1002,1601,351
1889,NA,NA,NA,NA,NA,NA
1890,7383,9173,878,1004,1604,NA
1891,7681,9502,1301,950,1604,428
1892,7834,9609,1285,919,1560,385
1893,6681,8667,1155,981,1590,392
1894,6791,8892,1175,1014,1556,422
1895,6962,9019,1204,1009,1581,415
1896,6985,9100,1155,1044,1602,404
1897,7046,9302,1203,1006,1567,378
1898,7097,9260,1124,971,1478,355
1899,NA,NA,NA,NA,NA,NA
1900,7548,9914,1180,NA,NA,NA
1901,7392,9964,1181,867,1415,380
1902,7511,10175,1168,872,1437,388
1903,7179,9788,1016,867,1384,378
1904,NA,NA,NA,NA,NA,NA
1905,7434,10267,797,716,1216,344
1906,7238,9873,721,679,1162,NA
1907,7599,10442,657,681,1118,NA
1908,8224,11111,908,630,1060,348
1909,8380,11484,481,628,1028,NA
1910,8362,11615,605,563,972,341
1911,8326,11669,517,310,227,338
1912,8315,11312,679,524,878,NA
1913,8672,11808,1350,518,877,344
1914,8998,12287,1256,503,824,338
1915,9267,12503,1449,506,840,349
1916,10087,13789,710,581,936,NA
1917,9872,13635,790,657,998,399
1918,9393,12754,363,633,951,NA
1919,8670,12512,677,NA,NA,NA
1920,9191,13466,579,NA,NA,NA
